Num,Date,Time,Temp,Lux
140,6/13/2013,05:30:00 fm,7.582,1377.80
141,6/13/2013,06:00:00 fm,7.582,2066.70
142,6/13/2013,06:30:00 fm,7.582,3444.50
143,6/13/2013,07:00:00 fm,7.682,2497.20
144,6/13/2013,07:30:00 fm,7.782,3788.90
145,6/13/2013,08:00:00 fm,7.882,4133.40
146,6/13/2013,08:30:00 fm,8.082,4822.30
147,6/13/2013,09:00:00 fm,8.382,7577.80
148,6/13/2013,09:30:00 fm,8.68,7577.80
149,6/13/2013,10:00:00 fm,8.779,6544.50
150,6/13/2013,10:30:00 fm,8.879,6544.50
151,6/13/2013,11:00:00 fm,8.978,7233.40
152,6/13/2013,11:30:00 fm,9.176,3444.50
153,6/13/2013,12:00:00 em,9.275,4477.80
154,6/13/2013,12:30:00 em,9.373,9644.50
155,6/13/2013,01:00:00 em,9.669,7577.80
156,6/13/2013,01:30:00 em,9.768,7577.80
157,6/13/2013,02:00:00 em,9.866,7577.80
158,6/13/2013,02:30:00 em,9.965,3100.00
159,6/13/2013,03:00:00 em,9.866,3616.70
160,6/13/2013,03:30:00 em,9.866,5166.70
161,6/13/2013,04:00:00 em,9.866,2755.60
162,6/13/2013,04:30:00 em,9.768,818.1
163,6/13/2013,05:00:00 em,9.669,1463.90
164,6/13/2013,05:30:00 em,9.669,1345.50
165,6/13/2013,06:00:00 em,9.669,1259.40
166,6/13/2013,06:30:00 em,9.669,688.9
167,6/13/2013,07:00:00 em,9.571,1550.00
168,6/13/2013,07:30:00 em,9.571,495.1
169,6/13/2013,08:00:00 em,9.571,731.9
170,6/13/2013,08:30:00 em,9.571,161.5
171,6/13/2013,09:00:00 em,9.472,279.9
172,6/13/2013,09:30:00 em,9.472,161.5
173,6/13/2013,10:00:00 em,9.373,75.3
174,6/13/2013,10:30:00 em,9.373,64.6
175,6/13/2013,11:00:00 em,9.275,0
176,6/13/2013,11:30:00 em,9.176,0
177,6/14/2013,12:00:00 fm,9.176,0
178,6/14/2013,12:30:00 fm,9.077,0
179,6/14/2013,01:00:00 fm,9.077,0
180,6/14/2013,01:30:00 fm,8.978,0
181,6/14/2013,02:00:00 fm,8.879,0
182,6/14/2013,02:30:00 fm,8.879,0
183,6/14/2013,03:00:00 fm,8.779,32.3
184,6/14/2013,03:30:00 fm,8.779,150.7
185,6/14/2013,04:00:00 fm,8.68,258.3
186,6/14/2013,04:30:00 fm,8.68,990.3
187,6/14/2013,05:00:00 fm,8.581,581.3
188,6/14/2013,05:30:00 fm,8.581,699.7
189,6/14/2013,06:00:00 fm,8.581,764.2
190,6/14/2013,06:30:00 fm,8.581,1216.30
191,6/14/2013,07:00:00 fm,8.581,1248.60
192,6/14/2013,07:30:00 fm,8.581,1227.10
193,6/14/2013,08:00:00 fm,8.581,775
194,6/14/2013,08:30:00 fm,8.581,1894.50
195,6/14/2013,09:00:00 fm,8.581,1722.20
196,6/14/2013,09:30:00 fm,8.581,2755.60
197,6/14/2013,10:00:00 fm,8.779,3788.90
198,6/14/2013,10:30:00 fm,8.779,4822.30
199,6/14/2013,11:00:00 fm,8.879,3100.00
200,6/14/2013,11:30:00 fm,8.978,3100.00
201,6/14/2013,12:00:00 em,8.978,2583.40
202,6/14/2013,12:30:00 em,9.077,2411.10
203,6/14/2013,01:00:00 em,9.077,4994.50
204,6/14/2013,01:30:00 em,9.176,4994.50
205,6/14/2013,02:00:00 em,9.373,5511.10
206,6/14/2013,02:30:00 em,9.571,8266.70
207,6/14/2013,03:00:00 em,9.669,4133.40
208,6/14/2013,03:30:00 em,9.571,1980.60
209,6/14/2013,04:00:00 em,9.571,3100.00
210,6/14/2013,04:30:00 em,9.571,2238.90
211,6/14/2013,05:00:00 em,9.571,1550.00
212,6/14/2013,05:30:00 em,9.472,236.8
213,6/14/2013,06:00:00 em,9.373,527.4
214,6/14/2013,06:30:00 em,9.373,1550.00
215,6/14/2013,07:00:00 em,9.472,3616.70
216,6/14/2013,07:30:00 em,9.472,1463.90
217,6/14/2013,08:00:00 em,9.373,1722.20
218,6/14/2013,08:30:00 em,9.373,624.3
219,6/14/2013,09:00:00 em,9.275,376.7
220,6/14/2013,09:30:00 em,9.176,236.8
221,6/14/2013,10:00:00 em,9.077,86.1
222,6/14/2013,10:30:00 em,9.077,64.6
223,6/14/2013,11:00:00 em,8.978,21.5
224,6/14/2013,11:30:00 em,8.879,0
225,6/15/2013,12:00:00 fm,8.779,0
226,6/15/2013,12:30:00 fm,8.68,0
227,6/15/2013,01:00:00 fm,8.581,0
228,6/15/2013,01:30:00 fm,8.581,0
229,6/15/2013,02:00:00 fm,8.481,0
230,6/15/2013,02:30:00 fm,8.481,0
231,6/15/2013,03:00:00 fm,8.382,64.6
232,6/15/2013,03:30:00 fm,8.382,139.9
233,6/15/2013,04:00:00 fm,8.282,290.6
234,6/15/2013,04:30:00 fm,8.282,807.3
235,6/15/2013,05:00:00 fm,8.282,1076.40
236,6/15/2013,05:30:00 fm,8.282,1216.30
237,6/15/2013,06:00:00 fm,8.282,1237.90
238,6/15/2013,06:30:00 fm,8.282,882.6
239,6/15/2013,07:00:00 fm,8.382,2152.80
240,6/15/2013,07:30:00 fm,8.382,2325.00
241,6/15/2013,08:00:00 fm,8.481,3444.50
242,6/15/2013,08:30:00 fm,8.581,3616.70
243,6/15/2013,09:00:00 fm,8.68,4650.00
244,6/15/2013,09:30:00 fm,8.779,5338.90
245,6/15/2013,10:00:00 fm,8.879,5166.70
246,6/15/2013,10:30:00 fm,8.978,4650.00
247,6/15/2013,11:00:00 fm,9.176,4133.40
248,6/15/2013,11:30:00 fm,9.275,3788.90
249,6/15/2013,12:00:00 em,9.472,6544.50
250,6/15/2013,12:30:00 em,9.669,5511.10
251,6/15/2013,01:00:00 em,9.669,8266.70
252,6/15/2013,01:30:00 em,9.965,6544.50
253,6/15/2013,02:00:00 em,10.063,6544.50
254,6/15/2013,02:30:00 em,10.259,5338.90
255,6/15/2013,03:00:00 em,10.259,3444.50
256,6/15/2013,03:30:00 em,10.357,8266.70
257,6/15/2013,04:00:00 em,10.259,4305.60
258,6/15/2013,04:30:00 em,10.259,2066.70
259,6/15/2013,05:00:00 em,10.161,1377.80
260,6/15/2013,05:30:00 em,10.161,1894.50
261,6/15/2013,06:00:00 em,10.161,5338.90
262,6/15/2013,06:30:00 em,10.161,6200.00
263,6/15/2013,07:00:00 em,10.063,10677.80
264,6/15/2013,07:30:00 em,9.965,850.4
265,6/15/2013,08:00:00 em,9.866,1722.20
266,6/15/2013,08:30:00 em,9.669,1377.80
267,6/15/2013,09:00:00 em,9.571,1097.90
268,6/15/2013,09:30:00 em,9.472,850.4
269,6/15/2013,10:00:00 em,9.373,441.3
270,6/15/2013,10:30:00 em,9.176,86.1
271,6/15/2013,11:00:00 em,8.978,43.1
272,6/15/2013,11:30:00 em,8.779,21.5
273,6/16/2013,12:00:00 fm,8.581,0
274,6/16/2013,12:30:00 fm,8.481,0
275,6/16/2013,01:00:00 fm,8.382,0
276,6/16/2013,01:30:00 fm,8.282,0
277,6/16/2013,02:00:00 fm,8.082,21.5
278,6/16/2013,02:30:00 fm,7.882,53.8
279,6/16/2013,03:00:00 fm,7.682,118.4
280,6/16/2013,03:30:00 fm,7.582,322.9
281,6/16/2013,04:00:00 fm,7.481,785.8
282,6/16/2013,04:30:00 fm,7.481,861.1
283,6/16/2013,05:00:00 fm,7.481,1377.80
284,6/16/2013,05:30:00 fm,7.582,2066.70
285,6/16/2013,06:00:00 fm,7.682,1808.30
286,6/16/2013,06:30:00 fm,7.782,3272.20
287,6/16/2013,07:00:00 fm,7.882,3788.90
288,6/16/2013,07:30:00 fm,8.082,3100.00
289,6/16/2013,08:00:00 fm,8.182,2927.80
290,6/16/2013,08:30:00 fm,8.382,3100.00
291,6/16/2013,09:00:00 fm,8.68,10333.40
292,6/16/2013,09:30:00 fm,8.779,5511.10
293,6/16/2013,10:00:00 fm,8.879,3961.10
294,6/16/2013,10:30:00 fm,9.077,2497.20
295,6/16/2013,11:00:00 fm,9.275,4477.80
296,6/16/2013,11:30:00 fm,9.373,4477.80
297,6/16/2013,12:00:00 em,9.373,3616.70
298,6/16/2013,12:30:00 em,9.472,8266.70
299,6/16/2013,01:00:00 em,9.571,2583.40
300,6/16/2013,01:30:00 em,9.669,4477.80
301,6/16/2013,02:00:00 em,9.866,6200.00
302,6/16/2013,02:30:00 em,10.063,6544.50
303,6/16/2013,03:00:00 em,9.965,3444.50
304,6/16/2013,03:30:00 em,10.063,4305.60
305,6/16/2013,04:00:00 em,10.063,5166.70
306,6/16/2013,04:30:00 em,10.063,4133.40
307,6/16/2013,05:00:00 em,9.965,2497.20
308,6/16/2013,05:30:00 em,9.965,2325.00
309,6/16/2013,06:00:00 em,9.965,3272.20
310,6/16/2013,06:30:00 em,9.866,1980.60
311,6/16/2013,07:00:00 em,9.768,1980.60
312,6/16/2013,07:30:00 em,9.768,1636.10
313,6/16/2013,08:00:00 em,9.669,1463.90
314,6/16/2013,08:30:00 em,9.571,1119.50
315,6/16/2013,09:00:00 em,9.472,936.5
316,6/16/2013,09:30:00 em,9.373,549
317,6/16/2013,10:00:00 em,9.275,279.9
318,6/16/2013,10:30:00 em,9.176,139.9
319,6/16/2013,11:00:00 em,9.077,53.8
320,6/16/2013,11:30:00 em,8.978,10.8
321,6/17/2013,12:00:00 fm,8.879,0
322,6/17/2013,12:30:00 fm,8.68,0
323,6/17/2013,01:00:00 fm,8.68,0
324,6/17/2013,01:30:00 fm,8.581,0
325,6/17/2013,02:00:00 fm,8.481,10.8
326,6/17/2013,02:30:00 fm,8.382,32.3
327,6/17/2013,03:00:00 fm,8.282,107.6
328,6/17/2013,03:30:00 fm,8.282,279.9
329,6/17/2013,04:00:00 fm,8.182,484.4
330,6/17/2013,04:30:00 fm,8.182,1011.80
331,6/17/2013,05:00:00 fm,8.182,1184.00
332,6/17/2013,05:30:00 fm,8.282,1808.30
